onset	duration	trial_type	correct
4	6.0	CS2	1
14	6.0	CS4	0
24	6.0	MS2	1
34	6.0	MS2	1
44	6.0	MS4	1
54	6.0	CS2	1
64	6.0	MS4	1
78	6.0	CS4	1
88	6.0	MS4	1
100	6.0	CS2	1
110	6.0	MS1	1
120	6.0	CS3	1
130	6.0	CS1	1
142	6.0	CS3	1
152	6.0	MS2	1
166	6.0	CS3	0
182	6.0	MS2	1
192	6.0	CS3	1
204	6.0	MS1	1
214	6.0	CS2	1
224	6.0	MS3	1
234	6.0	MS4	1
244	6.0	MS4	1
254	6.0	MS3	0
266	6.0	MS3	1
276	6.0	CS1	0
288	6.0	CS1	1
298	6.0	MS1	1
308	6.0	CS1	0
318	6.0	MS3	1
334	6.0	CS2	1
348	6.0	CS4	1
358	6.0	CS3	1
368	6.0	MS1	1
378	6.0	CS4	1
388	6.0	CS4	1
404	6.0	MS2	1
414	6.0	MS1	0
426	6.0	MS3	1
438	6.0	CS1	1
