onset	duration	trial_type	correct
4	6.0	CS3	1
14	6.0	MS4	1
24	6.0	MS3	0
34	6.0	MS1	1
44	6.0	CS1	1
54	6.0	CS2	0
64	6.0	CS4	1
74	6.0	CS1	0
84	6.0	CS3	1
94	6.0	MS1	1
104	6.0	MS2	1
114	6.0	MS3	0
126	6.0	CS2	1
136	6.0	MS2	1
146	6.0	CS1	1
158	6.0	MS2	0
168	6.0	CS3	1
180	6.0	MS3	0
196	6.0	MS2	1
206	6.0	CS4	0
220	6.0	CS4	0
230	6.0	MS4	0
240	6.0	CS3	1
250	6.0	CS2	0
262	6.0	MS4	1
274	6.0	MS4	1
284	6.0	CS4	1
296	6.0	CS4	1
306	6.0	MS2	0
320	6.0	MS1	0
334	6.0	MS4	1
350	6.0	CS2	1
360	6.0	MS1	1
370	6.0	MS1	1
386	6.0	MS3	0
396	6.0	CS2	1
406	6.0	CS3	1
418	6.0	CS1	1
428	6.0	MS3	1
438	6.0	CS1	1
